APP_CODE,DEST_ID,SUB_DEST_ID,ORDER_MGMT_SYS_CODE,SALES_BUS_LINE_ID,SALES_BUS_DIVISION,MS_DEST_ID,ISSUE_TYPE_CODE,SALES_CAPTURE_METHOD_CODE,10
MMETL,MMETL,,FIX_SWAP,CLSITTRD,,78MMRTRMVEA1_NYPMM68_MMTRADER5,ADR,,5
PT,CARBON,Cash,OMWP,PROGRAMS,IED,AGENCYDESK,STOCK,File,1
SORT,ARCX,ARCA,FIX_DMA,CLSITTRD,IED,ARCA,WARRNT,FIX,19
SORT,ARCX,UNKNOWN,CG_DMA,CLSITTRD,,ARCA,STOCK,FIX,19816
CPK,ARCX,,CG_SWAP,CLSITTRD,,ARCA,STOCK,,2317151
SORT,ARCX,,FIX_DMA,CLSITTRD,,ARCA,FUND,FIX,129
BXS-OE,ASX,,FIX_SWAP,CLSITTRD,,ASX,STOCK,FIX,398245
Passport,Passport,G9,Passport,CLSITTRD,IED,ATDL_EU_CSH,ETF,Passport,2
CARBON,SORT,,CARBON,STIRT,FID,AULD_PROXIMA,FUTURE,,20
RBE,AUTEX,,CG_DMA,CLSITTRD,,AUTEX_TA,STOCK,,125
SORT,LATS,BARX1,CARBON,FIDMUNI,FID,BARX,ETF,FIX,2154
SORT,CPK,BATS,CG_SWAP,CLSITTRD,,BATS,ADR,FIX,36742
SORT,BIDS,BIDS,FIX_BXS,CLSITTRD,,BIDS,STOCK,FIX,244258
CPK,BIDS,,FIX_SWAP,CLSITTRD,,BIDS_COND,ADR,,12
RBE,BSE,,FIX_BXS,CLSITTRD,,BSE,STOCK,FIX,27410
IEDALGO,BXS,,,CLSITTRD,IED,BXS,STOCK,FIX,86
BXS-OC,BXS-OE,,FIX_BXS,CLSITTRD,,BXS,ADR,FIX,7009
CARBON,OM_SLICE,,CARBON,DERIV,,BXS,STOCK,,508
IEDALGO,STRATEGY,,FIX_BXS,CLSITTRD,,BXS,STOCK,,7869
PT,BXS-OC,,,ETF,,BXSOC,ADR,,32
CSOM,CSOM,,FIX_BXS,CLSITTRD,IED,BXS_AU,FUTURE,FIX,15700
CSOM,BXS,,FIX_BXS,CLSITTRD,IED,BXS_CN,ETF,FIX,1
RAZER,BXS_CN_SH,,FIX_BXS,CLSITTRD,,BXS_CN,ETF,FIX,3
CSOM,CSOM,,FIX_BXS,CLSITTRD,IED,BXS_IN,OPTION,FIX,13
CD,MVEA,,Passport,CLSITTRD,IED,BXS_MVEA,STOCK,FIX,2451
RAZER,RBE,,FIX_BXS,CLSITTRD,,BXS_SG,STOCK,FIX,3994
SORT,BYXX,BYX1,CG_DMA,CLSITTRD,,BYX,ADR,FIX,136
CPK,BYXX,BYX2,CG_SWAP,CLSITTRD,,BYX,ETF,,32272
SORT,BYXX,BYX2,,CLSITTRD,IED,BYX,ETF,FIX,8734
SORT,BYXX,,FIX_DMA,CLSITTRD,IED,BYX,FUND,FIX,16
CARBON,CARBON,Atom,RFQConvert,CONVERT,IED,CARBON,CONVRT,Phone,193
CARBON,CARBON,FON1,CARBON,CORE,IED,CARBON,ETF,FIX,33
CARBON,CARBON,J0,CARBON,CORE,IED,CARBON,STOCK,Phone,36
CARBON,CARBON,,CARBON,DERIV,IED,CARBON,ADR,,67
MMETL,MMETL,,CG_DMA,CLSITTRD,,77MMRTRCD1_NYPMM58_MMTRADER4,STOCK,FIX,3
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM59_MMTRADER4,ADR,FIX,21
